Pos.,Squadra,Competizione,N. di giocatori,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.
1,Alavés,es La Liga,24,5.0,112,"22,40",76,13,4,6,10,3,12,"2,40",8,1,1,1,1,0
2,Angers,fr Ligue 1,23,4.0,67,"16,75",53,3,3,2,4,2,4,"1,00",3,0,0,0,1,0
3,Arsenal,eng Premier League,19,4.0,85,"21,25",70,4,6,5,0,0,12,"3,00",9,2,0,1,0,0
4,Aston Villa,eng Premier League,19,4.0,92,"23,00",66,8,5,9,1,3,12,"3,00",10,1,0,1,0,0
5,Atalanta,it Serie A,24,4.0,103,"25,75",81,2,7,8,3,2,15,"3,75",12,0,1,1,1,0
6,Athletic Club,es La Liga,24,5.0,75,"15,00",53,5,6,5,3,3,11,"2,20",9,0,0,1,1,0
7,Atlético Madrid,es La Liga,20,5.0,119,"23,80",97,8,5,6,1,2,16,"3,20",13,0,1,1,0,1
8,Augsburg,de Bundesliga,22,3.0,77,"25,67",49,14,1,7,5,1,8,"2,67",7,0,1,0,0,0
9,Auxerre,fr Ligue 1,22,4.0,87,"21,75",71,4,3,2,6,1,6,"1,50",2,1,1,0,2,0
10,Barcelona,es La Liga,21,5.0,168,"33,60",124,11,12,12,9,0,27,"5,40",18,1,3,2,3,0
11,Bayern Munich,de Bundesliga,19,3.0,89,"29,67",61,8,9,8,2,1,14,"4,67",8,0,2,2,1,1
12,Betis,es La Liga,23,5.0,137,"27,40",108,8,8,10,1,2,8,"1,60",4,1,0,3,0,0
13,Bochum,de Bundesliga,19,3.0,58,"19,33",41,8,1,5,2,1,1,"0,33",0,0,0,1,0,0
14,Bologna,it Serie A,23,4.0,96,"24,00",61,12,5,10,6,2,6,"1,50",1,0,1,3,1,0
15,Bournemouth,eng Premier League,21,4.0,118,"29,50",90,8,4,6,6,4,9,"2,25",9,0,0,0,0,0
16,Brentford,eng Premier League,18,4.0,82,"20,50",59,9,5,4,4,1,10,"2,50",7,1,0,2,0,0
17,Brest,fr Ligue 1,23,4.0,82,"20,50",53,12,3,4,7,3,9,"2,25",5,0,0,2,2,0
18,Brighton,eng Premier League,23,4.0,118,"29,50",77,8,11,12,9,1,10,"2,50",8,0,1,1,0,0
19,Cagliari,it Serie A,23,4.0,112,"28,00",75,14,6,10,5,2,2,"0,50",2,0,0,0,0,0
20,Celta Vigo,es La Liga,23,5.0,103,"20,60",71,5,10,9,7,1,19,"3,80",14,0,2,2,1,0
21,Chelsea,eng Premier League,21,4.0,90,"22,50",73,3,7,4,3,0,15,"3,75",11,1,2,1,0,0
22,Como,it Serie A,26,4.0,90,"22,50",57,11,7,10,2,3,3,"0,75",2,0,0,1,0,0
23,Crystal Palace,eng Premier League,21,4.0,103,"25,75",84,7,2,6,4,0,4,"1,00",2,0,0,1,1,0
24,Dortmund,de Bundesliga,18,3.0,75,"25,00",51,9,9,4,1,1,11,"3,67",7,0,3,1,0,0
25,Eint Frankfurt,de Bundesliga,19,3.0,69,"23,00",49,5,6,5,3,1,9,"3,00",6,1,2,0,0,0
26,Empoli,it Serie A,21,4.0,59,"14,75",36,10,4,5,4,0,4,"1,00",2,0,0,1,1,0
27,Espanyol,es La Liga,20,5.0,92,"18,40",66,9,5,5,6,1,10,"2,00",6,0,1,2,1,0
28,Everton,eng Premier League,21,4.0,76,"19,00",50,10,4,5,4,3,7,"1,75",4,1,0,0,1,1
29,Fiorentina,it Serie A,25,4.0,106,"26,50",74,9,9,9,5,0,7,"1,75",2,2,1,2,0,0
30,Freiburg,de Bundesliga,21,3.0,77,"25,67",45,8,5,13,4,2,8,"2,67",4,1,0,3,0,0
31,Fulham,eng Premier League,19,4.0,105,"26,25",70,14,5,8,5,3,8,"2,00",8,0,0,0,0,0
32,Genoa,it Serie A,19,4.0,90,"22,50",61,10,3,7,9,0,5,"1,25",3,0,0,2,0,0
33,Getafe,es La Liga,20,5.0,116,"23,20",73,19,13,6,5,0,4,"0,80",0,3,0,1,0,0
34,Girona,es La Liga,22,5.0,95,"19,00",78,5,4,4,2,2,15,"3,00",12,0,2,1,0,0
35,Gladbach,de Bundesliga,18,3.0,76,"25,33",54,7,3,6,5,1,8,"2,67",7,0,0,1,0,0
36,Heidenheim,de Bundesliga,19,3.0,53,"17,67",39,5,4,1,4,0,14,"4,67",10,3,0,0,1,0
37,Hellas Verona,it Serie A,23,4.0,58,"14,50",43,5,3,2,3,2,10,"2,50",7,1,0,1,0,1
