Pos.,Squadra,Competizione,N. di giocatori,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.
1,Alavés,es La Liga,24,5.0,81,49,37,37,7,38,72,"52,8",34,41,7,34,47,128,87,0
2,Angers,fr Ligue 1,23,4.0,94,58,47,27,20,46,83,"55,4",37,38,6,32,40,134,77,5
3,Arsenal,eng Premier League,19,4.0,73,45,36,24,13,40,76,"52,6",36,48,18,30,37,110,84,5
4,Aston Villa,eng Premier League,19,4.0,83,50,29,41,13,34,57,"59,6",23,33,7,26,22,105,74,4
5,Atalanta,it Serie A,24,4.0,45,28,20,20,5,22,40,"55,0",18,40,14,26,28,73,54,3
6,Athletic Club,es La Liga,24,5.0,65,39,23,34,8,39,81,"48,1",42,53,15,38,41,106,109,5
7,Atlético Madrid,es La Liga,20,5.0,81,48,50,25,6,46,93,"49,5",47,46,10,36,34,115,103,4
8,Augsburg,de Bundesliga,22,3.0,38,26,11,19,8,20,40,"50,0",20,37,10,27,21,59,65,3
9,Auxerre,fr Ligue 1,22,4.0,73,43,41,23,9,32,74,"43,2",42,43,15,28,31,104,107,4
10,Barcelona,es La Liga,21,5.0,74,45,24,34,16,34,65,"52,3",31,41,8,33,17,91,66,2
11,Bayern Munich,de Bundesliga,19,3.0,41,25,16,16,9,21,36,"58,3",15,26,4,22,16,57,47,3
12,Betis,es La Liga,23,5.0,87,52,47,28,12,50,96,"52,1",46,57,20,37,41,128,100,2
13,Bochum,de Bundesliga,19,3.0,42,30,18,17,7,21,53,"39,6",32,58,20,38,21,63,77,2
14,Bologna,it Serie A,23,4.0,71,45,29,26,16,34,73,"46,6",39,42,13,29,23,94,43,1
15,Bournemouth,eng Premier League,21,4.0,79,41,38,27,14,32,69,"46,4",37,57,14,43,37,116,105,2
16,Brentford,eng Premier League,18,4.0,66,44,35,19,12,32,53,"60,4",21,53,20,33,36,102,83,1
17,Brest,fr Ligue 1,23,4.0,91,59,35,37,19,56,86,"65,1",30,48,14,34,44,135,76,0
