Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Alavés,es La Liga,24,"27,2",42.6,5,55,450,5.0,7,3,10,6,1,2,13,1,7.3,5.7,3.4,"9,1",81,177,"1,40","0,60","2,00","1,20","1,80","1,46","0,68","2,14","1,15","1,83"
2,Angers,fr Ligue 1,23,"27,3",45.0,4,44,360,4.0,2,1,3,1,1,1,10,0,3.3,2.5,2.2,"4,7",54,130,"0,50","0,25","0,75","0,25","0,50","0,82","0,55","1,38","0,63","1,18"
3,Arsenal,eng Premier League,19,"26,3",46.5,4,44,360,4.0,6,5,11,6,0,0,13,1,5.0,5.0,4.3,"9,3",63,138,"1,50","1,25","2,75","1,50","2,75","1,24","1,08","2,32","1,24","2,32"
4,Aston Villa,eng Premier League,19,"26,7",50.8,4,44,360,4.0,7,6,13,7,0,0,9,0,6.7,6.7,5.4,"12,1",71,113,"1,75","1,50","3,25","1,75","3,25","1,68","1,34","3,02","1,68","3,02"
5,Atalanta,it Serie A,24,"27,1",51.5,4,44,360,4.0,8,6,14,7,1,2,10,0,7.8,6.2,4.5,"10,7",69,171,"2,00","1,50","3,50","1,75","3,25","1,94","1,13","3,07","1,55","2,68"
6,Athletic Club,es La Liga,24,"27,2",48.6,5,55,450,5.0,6,5,11,5,1,1,15,1,4.7,3.9,2.8,"6,8",75,196,"1,20","1,00","2,20","1,00","2,00","0,95","0,57","1,51","0,79","1,36"
7,Atlético Madrid,es La Liga,20,"29,1",52.4,5,55,450,5.0,9,7,16,9,0,0,6,0,9.4,9.4,7.4,"16,8",78,240,"1,80","1,40","3,20","1,80","3,20","1,89","1,48","3,37","1,89","3,37"
8,Augsburg,de Bundesliga,22,"27,1",51.3,3,33,270,3.0,5,4,9,5,0,0,11,0,4.4,4.4,3.0,"7,4",40,135,"1,67","1,33","3,00","1,67","3,00","1,48","0,99","2,47","1,48","2,47"
9,Auxerre,fr Ligue 1,22,"26,8",50.0,4,44,360,4.0,3,2,5,3,0,0,9,2,4.1,4.1,3.7,"7,8",67,166,"0,75","0,50","1,25","0,75","1,25","1,02","0,93","1,95","1,02","1,95"
10,Barcelona,es La Liga,21,"25,2",63.2,5,55,450,5.0,17,12,29,16,1,1,10,1,12.9,12.1,10.4,"22,5",89,267,"3,40","2,40","5,80","3,20","5,60","2,59","2,07","4,66","2,43","4,50"
11,Bayern Munich,de Bundesliga,19,"28,0",68.7,3,33,270,3.0,9,6,15,7,2,2,5,0,7.1,5.6,5.0,"10,7",58,160,"3,00","2,00","5,00","2,33","4,33","2,38","1,68","4,06","1,87","3,55"
12,Betis,es La Liga,23,"28,2",54.0,5,55,450,5.0,5,3,8,4,1,1,10,0,8.1,7.5,5.7,"13,2",88,224,"1,00","0,60","1,60","0,80","1,40","1,62","1,14","2,77","1,49","2,64"
13,Bochum,de Bundesliga,19,"27,5",41.0,3,33,270,3.0,1,0,1,1,0,0,7,0,2.5,2.5,1.5,"4,1",30,93,"0,33","0,00","0,33","0,33","0,33","0,85","0,50","1,35","0,85","1,35"
14,Bologna,it Serie A,23,"26,9",64.8,4,44,360,4.0,4,2,6,3,1,1,3,0,6.3,5.6,4.0,"9,5",65,188,"1,00","0,50","1,50","0,75","1,25","1,58","0,99","2,58","1,40","2,39"
15,Bournemouth,eng Premier League,21,"25,5",43.3,4,44,360,4.0,5,4,9,5,0,1,12,0,7.6,6.8,5.7,"12,4",68,152,"1,25","1,00","2,25","1,25","2,25","1,89","1,42","3,31","1,69","3,11"
16,Brentford,eng Premier League,18,"26,9",41.8,4,44,360,4.0,6,2,8,6,0,0,7,0,5.9,5.9,3.3,"9,1",59,117,"1,50","0,50","2,00","1,50","2,00","1,46","0,82","2,28","1,46","2,28"
17,Brest,fr Ligue 1,23,"29,0",44.5,4,44,360,4.0,6,1,7,3,3,4,10,0,6.3,3.1,1.9,"5,0",50,110,"1,50","0,25","1,75","0,75","1,00","1,57","0,47","2,04","0,78","1,25"
18,Brighton,eng Premier League,23,"26,6",60.0,4,44,360,4.0,6,5,11,6,0,0,8,0,6.9,6.9,5.0,"11,8",98,192,"1,50","1,25","2,75","1,50","2,75","1,72","1,24","2,96","1,72","2,96"
19,Cagliari,it Serie A,23,"27,4",51.5,4,44,360,4.0,1,1,2,1,0,0,8,0,4.6,4.6,3.7,"8,3",69,141,"0,25","0,25","0,50","0,25","0,50","1,16","0,92","2,08","1,16","2,08"
20,Celta Vigo,es La Liga,23,"26,3",54.2,5,55,450,5.0,12,8,20,12,0,1,11,1,8.3,7.5,5.7,"13,2",81,202,"2,40","1,60","4,00","2,40","4,00","1,67","1,14","2,81","1,51","2,65"
21,Chelsea,eng Premier League,21,"23,6",59.0,4,44,360,4.0,8,7,15,8,0,0,16,0,5.7,5.7,4.9,"10,7",82,148,"2,00","1,75","3,75","2,00","3,75","1,43","1,23","2,66","1,43","2,66"
22,Como,it Serie A,26,"28,7",49.0,4,44,360,4.0,2,2,4,2,0,1,8,0,4.4,3.7,3.0,"6,7",65,135,"0,50","0,50","1,00","0,50","1,00","1,10","0,76","1,86","0,92","1,68"
23,Crystal Palace,eng Premier League,21,"26,2",54.0,4,44,360,4.0,3,1,4,2,1,1,8,0,5.6,4.8,4.0,"8,8",64,178,"0,75","0,25","1,00","0,50","0,75","1,40","1,01","2,41","1,20","2,21"
24,Dortmund,de Bundesliga,18,"27,5",60.7,3,33,270,3.0,6,5,11,5,1,1,9,1,4.9,4.2,3.5,"7,7",65,144,"2,00","1,67","3,67","1,67","3,33","1,64","1,17","2,81","1,41","2,58"
25,Eint Frankfurt,de Bundesliga,19,"26,0",40.3,3,33,270,3.0,5,4,9,4,1,1,3,0,6.3,5.5,5.2,"10,7",49,93,"1,67","1,33","3,00","1,33","2,67","2,09","1,74","3,84","1,83","3,57"
26,Empoli,it Serie A,21,"25,7",33.0,4,44,360,4.0,3,2,5,2,1,1,7,0,4.6,3.8,2.5,"6,3",43,90,"0,75","0,50","1,25","0,50","1,00","1,15","0,62","1,77","0,96","1,58"
27,Espanyol,es La Liga,20,"25,4",42.2,5,55,450,5.0,5,4,9,4,1,1,11,0,6.0,5.2,4.2,"9,4",55,120,"1,00","0,80","1,80","0,80","1,60","1,19","0,84","2,03","1,03","1,88"
28,Everton,eng Premier League,21,"28,5",36.3,4,44,360,4.0,4,3,7,4,0,0,7,1,4.1,4.1,3.6,"7,7",47,102,"1,00","0,75","1,75","1,00","1,75","1,03","0,91","1,94","1,03","1,94"
29,Fiorentina,it Serie A,25,"27,1",58.0,4,44,360,4.0,5,3,8,5,0,0,8,1,5.4,5.4,3.7,"9,0",78,142,"1,25","0,75","2,00","1,25","2,00","1,34","0,92","2,26","1,34","2,26"
30,Freiburg,de Bundesliga,21,"26,9",40.3,3,33,270,3.0,5,3,8,5,0,1,2,0,6.9,6.1,3.6,"9,8",33,79,"1,67","1,00","2,67","1,67","2,67","2,29","1,21","3,50","2,05","3,25"
31,Fulham,eng Premier League,19,"27,9",51.3,4,44,360,4.0,4,4,8,4,0,0,10,0,4.6,4.6,4.2,"8,9",69,152,"1,00","1,00","2,00","1,00","2,00","1,16","1,06","2,22","1,16","2,22"
32,Genoa,it Serie A,19,"27,8",42.3,4,44,360,4.0,4,2,6,4,0,1,7,0,5.5,4.6,3.2,"7,8",53,117,"1,00","0,50","1,50","1,00","1,50","1,37","0,81","2,18","1,14","1,95"
33,Getafe,es La Liga,20,"27,2",41.6,5,55,450,5.0,2,2,4,2,0,0,12,0,3.5,3.5,2.7,"6,2",52,125,"0,40","0,40","0,80","0,40","0,80","0,70","0,54","1,24","0,70","1,24"
34,Girona,es La Liga,22,"27,6",54.6,5,55,450,5.0,8,6,14,7,1,1,8,0,7.9,7.1,5.8,"12,9",87,236,"1,60","1,20","2,80","1,40","2,60","1,57","1,16","2,74","1,42","2,59"
35,Gladbach,de Bundesliga,18,"27,2",49.3,3,33,270,3.0,5,3,8,5,0,0,3,0,6.1,6.1,4.6,"10,7",52,89,"1,67","1,00","2,67","1,67","2,67","2,04","1,52","3,56","2,04","3,56"
36,Heidenheim,de Bundesliga,19,"26,8",38.7,3,33,270,3.0,8,5,13,6,2,2,6,0,6.0,4.4,3.9,"8,3",61,65,"2,67","1,67","4,33","2,00","3,67","1,99","1,30","3,29","1,46","2,76"
37,Hellas Verona,it Serie A,23,"25,8",40.0,4,44,360,4.0,6,4,10,5,1,1,14,0,4.6,3.8,3.3,"7,1",48,110,"1,50","1,00","2,50","1,25","2,25","1,15","0,82","1,97","0,95","1,77"
38,Hoffenheim,de Bundesliga,22,"28,1",48.0,3,33,270,3.0,5,3,8,4,1,1,7,0,5.3,4.6,3.4,"8,0",55,119,"1,67","1,00","2,67","1,33","2,33","1,78","1,14","2,92","1,52","2,66"
39,Holstein Kiel,de Bundesliga,21,"26,8",43.3,3,33,270,3.0,3,3,6,3,0,0,7,1,3.1,3.1,2.5,"5,6",28,72,"1,00","1,00","2,00","1,00","2,00","1,05","0,82","1,87","1,05","1,87"
40,Inter,it Serie A,21,"30,1",61.0,4,44,360,4.0,8,4,12,7,1,1,4,0,7.2,6.4,4.4,"10,8",57,187,"2,00","1,00","3,00","1,75","2,75","1,80","1,10","2,90","1,60","2,71"
41,Ipswich Town,eng Premier League,24,"26,3",35.8,4,44,360,4.0,2,2,4,2,0,0,11,0,1.5,1.5,1.3,"2,8",43,71,"0,50","0,50","1,00","0,50","1,00","0,38","0,32","0,71","0,38","0,71"
42,Juventus,it Serie A,23,"24,7",57.8,4,44,360,4.0,6,4,10,5,1,1,6,0,3.8,3.0,2.5,"5,6",79,128,"1,50","1,00","2,50","1,25","2,25","0,95","0,63","1,59","0,76","1,39"
43,Las Palmas,es La Liga,21,"28,2",57.2,5,55,450,5.0,5,4,9,5,0,0,4,0,5.1,5.1,4.2,"9,3",69,177,"1,00","0,80","1,80","1,00","1,80","1,02","0,84","1,86","1,02","1,86"
44,Lazio,it Serie A,21,"27,6",57.8,4,44,360,4.0,7,4,11,6,1,1,8,0,7.0,6.2,4.9,"11,1",86,160,"1,75","1,00","2,75","1,50","2,50","1,75","1,23","2,98","1,55","2,78"
45,Le Havre,fr Ligue 1,21,"26,8",40.3,4,44,360,4.0,5,3,8,3,2,2,8,0,5.5,4.0,3.0,"7,0",61,142,"1,25","0,75","2,00","0,75","1,50","1,39","0,76","2,15","0,99","1,75"
46,Lecce,it Serie A,20,"26,1",42.3,4,44,360,4.0,1,1,2,1,0,0,6,1,5.1,5.1,4.3,"9,4",55,102,"0,25","0,25","0,50","0,25","0,50","1,28","1,07","2,35","1,28","2,35"
