Pos.,Squadra,Competizione,N. di giocatori,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP
1,Alavés,es La Liga,24,5.0,1283,1811,"70,8",25046,10725,539,661,"81,5",527,666,"79,1",185,378,"48,9",3,3.4,4.4,-0.4,44,134,41,20,177
2,Angers,fr Ligue 1,23,4.0,1352,1724,"78,4",22799,8273,655,740,"88,5",552,646,"85,4",109,234,"46,6",1,2.2,2.4,-1.2,29,102,28,9,130
3,Arsenal,eng Premier League,19,4.0,1315,1618,"81,3",23191,7956,603,678,"88,9",587,666,"88,1",105,204,"51,5",5,4.3,3.4,+0.7,38,87,40,6,138
4,Aston Villa,eng Premier League,19,4.0,1596,1911,"83,5",26835,9116,769,836,"92,0",670,750,"89,3",116,221,"52,5",6,5.4,4.8,+0.6,40,138,33,6,113
5,Atalanta,it Serie A,24,4.0,1599,1920,"83,3",28344,9149,677,747,"90,6",741,834,"88,8",155,266,"58,3",6,4.5,4.0,+1.5,46,140,43,16,171
6,Athletic Club,es La Liga,24,5.0,1789,2303,"77,7",31572,10755,795,943,"84,3",810,939,"86,3",153,328,"46,6",5,2.8,2.5,+2.2,29,161,26,8,196
7,Atlético Madrid,es La Liga,20,5.0,2466,2908,"84,8",42975,13964,1074,1178,"91,2",1119,1242,"90,1",206,338,"60,9",7,7.4,6.2,-0.4,53,156,61,19,240
8,Augsburg,de Bundesliga,22,3.0,1078,1375,"78,4",20355,8747,407,472,"86,2",532,615,"86,5",114,207,"55,1",4,3.0,3.5,+1.0,32,93,21,6,135
9,Auxerre,fr Ligue 1,22,4.0,1603,1983,"80,8",28702,10353,678,767,"88,4",724,819,"88,4",156,288,"54,2",2,3.7,3.8,-1.7,36,110,26,7,166
10,Barcelona,es La Liga,21,5.0,2545,2959,"86,0",45341,15410,1082,1216,"89,0",1211,1323,"91,5",220,309,"71,2",12,10.4,7.8,+1.6,73,205,63,11,267
11,Bayern Munich,de Bundesliga,19,3.0,1967,2236,"88,0",32591,11208,996,1082,"92,1",811,891,"91,0",133,200,"66,5",6,5.0,4.3,+1.0,40,150,35,3,160
12,Betis,es La Liga,23,5.0,2163,2641,"81,9",35918,12462,1065,1186,"89,8",888,1009,"88,0",158,310,"51,0",3,5.7,4.7,-2.7,59,161,44,12,224
13,Bochum,de Bundesliga,19,3.0,825,1153,"71,6",16740,7392,290,358,"81,0",416,503,"82,7",107,229,"46,7",0,1.5,2.0,-1.5,26,76,20,7,93
14,Bologna,it Serie A,23,4.0,1992,2391,"83,3",38444,11982,698,782,"89,3",1015,1150,"88,3",241,349,"69,1",2,4.0,3.2,-2.0,41,184,29,13,188
