Pos.,Squadra,Competizione,N. di giocatori,PG,Tit,Min,90 min,Rs,Rs90,Tiri in porta,Parate,%Parate,V,N,P,Porta Inviolata,% PI,Rig T,Rig segnati,Rig parati,Rig sbagliati,%Parate
1,Alavés,es La Liga,1,5,5,450,5.0,6,"1,20",18,12,"72,2",2,1,2,2,"40,0",1,1,0,0,"0,0"
2,Angers,fr Ligue 1,1,4,4,360,4.0,8,"2,00",23,15,"65,2",0,1,3,0,"0,0",0,0,0,0,
3,Arsenal,eng Premier League,1,4,4,360,4.0,1,"0,25",15,14,"93,3",3,1,0,3,"75,0",0,0,0,0,
4,Aston Villa,eng Premier League,1,4,4,360,4.0,6,"1,50",12,6,"58,3",3,0,1,0,"0,0",1,1,0,0,"0,0"
5,Atalanta,it Serie A,2,4,4,360,4.0,8,"2,00",19,12,"57,9",2,0,2,1,"25,0",0,0,0,0,
6,Athletic Club,es La Liga,2,5,5,450,5.0,6,"1,20",14,8,"57,1",2,1,2,1,"20,0",0,0,0,0,
7,Atlético Madrid,es La Liga,2,5,5,450,5.0,2,"0,40",10,9,"80,0",3,2,0,4,"80,0",0,0,0,0,
8,Augsburg,de Bundesliga,1,3,3,270,3.0,7,"2,33",16,9,"62,5",1,1,1,0,"0,0",1,1,0,0,"0,0"
9,Auxerre,fr Ligue 1,1,4,4,360,4.0,9,"2,25",24,16,"66,7",1,0,3,0,"0,0",1,1,0,0,"0,0"
10,Barcelona,es La Liga,1,5,5,450,5.0,4,"0,80",12,8,"75,0",5,0,0,1,"20,0",1,1,0,0,"0,0"
11,Bayern Munich,de Bundesliga,1,3,3,270,3.0,3,"1,00",6,3,"66,7",3,0,0,1,"33,3",2,1,0,1,"0,0"
12,Betis,es La Liga,1,5,5,450,5.0,4,"0,80",15,11,"80,0",2,2,1,2,"40,0",1,1,0,0,"0,0"
13,Bochum,de Bundesliga,1,3,3,270,3.0,5,"1,67",16,11,"68,8",0,0,3,0,"0,0",0,0,0,0,
14,Bologna,it Serie A,1,4,4,360,4.0,7,"1,75",13,6,"46,2",0,3,1,0,"0,0",1,0,1,0,"100,0"
15,Bournemouth,eng Premier League,3,4,4,360,4.0,5,"1,25",24,19,"79,2",1,2,1,0,"0,0",0,0,0,0,
16,Brentford,eng Premier League,1,4,4,360,4.0,6,"1,50",27,22,"77,8",2,0,2,0,"0,0",0,0,0,0,
17,Brest,fr Ligue 1,1,4,4,360,4.0,10,"2,50",23,14,"65,2",1,0,3,1,"25,0",2,2,0,0,"0,0"
18,Brighton,eng Premier League,2,4,4,360,4.0,2,"0,50",12,10,"83,3",2,2,0,2,"50,0",0,0,0,0,
19,Cagliari,it Serie A,1,4,4,360,4.0,6,"1,50",15,9,"60,0",0,2,2,1,"25,0",0,0,0,0,
20,Celta Vigo,es La Liga,2,5,5,450,5.0,10,"2,00",20,11,"50,0",3,0,2,0,"0,0",1,0,1,0,"100,0"
21,Chelsea,eng Premier League,1,4,4,360,4.0,5,"1,25",19,13,"73,7",2,1,1,1,"25,0",1,0,1,0,"100,0"
22,Como,it Serie A,2,4,4,360,4.0,7,"1,75",17,10,"58,8",0,2,2,0,"0,0",0,0,0,0,
23,Crystal Palace,eng Premier League,1,4,4,360,4.0,7,"1,75",19,12,"63,2",0,2,2,0,"0,0",0,0,0,0,
24,Dortmund,de Bundesliga,1,3,3,270,3.0,2,"0,67",7,5,"85,7",2,1,0,2,"66,7",1,1,0,0,"0,0"
25,Eint Frankfurt,de Bundesliga,2,3,3,270,3.0,4,"1,33",12,8,"66,7",2,0,1,0,"0,0",0,0,0,0,
26,Empoli,it Serie A,1,4,4,360,4.0,2,"0,50",14,12,"85,7",1,3,0,2,"50,0",0,0,0,0,
27,Espanyol,es La Liga,1,5,5,450,5.0,5,"1,00",22,17,"77,3",2,1,2,1,"20,0",0,0,0,0,
28,Everton,eng Premier League,1,4,4,360,4.0,13,"3,25",26,13,"50,0",0,0,4,0,"0,0",0,0,0,0,
29,Fiorentina,it Serie A,2,4,4,360,4.0,6,"1,50",20,14,"70,0",0,3,1,1,"25,0",0,0,0,0,
30,Freiburg,de Bundesliga,2,3,3,270,3.0,4,"1,33",8,4,"62,5",2,0,1,0,"0,0",1,1,0,0,"0,0"
31,Fulham,eng Premier League,1,4,4,360,4.0,4,"1,00",16,12,"75,0",1,2,1,0,"0,0",0,0,0,0,
32,Genoa,it Serie A,1,4,4,360,4.0,5,"1,25",17,12,"76,5",1,2,1,1,"25,0",1,1,0,0,"0,0"
33,Getafe,es La Liga,1,5,5,450,5.0,4,"0,80",15,11,"80,0",0,3,2,2,"40,0",1,1,0,0,"0,0"
34,Girona,es La Liga,1,5,5,450,5.0,8,"1,60",24,16,"66,7",2,1,2,2,"40,0",0,0,0,0,
35,Gladbach,de Bundesliga,1,3,3,270,3.0,6,"2,00",21,14,"71,4",1,0,2,1,"33,3",1,0,1,0,"100,0"
36,Heidenheim,de Bundesliga,1,3,3,270,3.0,4,"1,33",9,5,"66,7",2,0,1,2,"66,7",1,1,0,0,"0,0"
37,Hellas Verona,it Serie A,1,4,4,360,4.0,5,"1,25",17,12,"76,5",2,0,2,2,"50,0",1,1,0,0,"0,0"
38,Hoffenheim,de Bundesliga,1,3,3,270,3.0,9,"3,00",20,11,"60,0",1,0,2,0,"0,0",1,1,0,0,"0,0"
39,Holstein Kiel,de Bundesliga,1,3,3,270,3.0,11,"3,67",24,14,"62,5",0,0,3,0,"0,0",2,2,0,0,"0,0"
40,Inter,it Serie A,1,4,4,360,4.0,3,"0,75",14,10,"78,6",2,2,0,2,"50,0",1,0,1,0,"100,0"
41,Ipswich Town,eng Premier League,2,4,4,360,4.0,7,"1,75",20,13,"70,0",0,2,2,1,"25,0",1,1,0,0,"0,0"
42,Juventus,it Serie A,2,4,4,360,4.0,0,"0,00",5,5,"100,0",2,2,0,4,"100,0",0,0,0,0,
43,Las Palmas,es La Liga,1,5,5,450,5.0,10,"2,00",27,17,"66,7",0,2,3,0,"0,0",3,1,1,1,"50,0"
44,Lazio,it Serie A,1,4,4,360,4.0,6,"1,50",11,5,"45,5",2,1,1,0,"0,0",0,0,0,0,
45,Le Havre,fr Ligue 1,1,4,4,360,4.0,7,"1,75",23,16,"73,9",2,0,2,1,"25,0",1,1,0,0,"0,0"
46,Lecce,it Serie A,1,4,4,360,4.0,6,"1,50",11,5,"63,6",1,1,2,2,"50,0",2,2,0,0,"0,0"
47,Leganés,es La Liga,1,5,5,450,5.0,5,"1,00",21,17,"76,2",1,2,2,1,"20,0",0,0,0,0,
48,Leicester City,eng Premier League,1,4,4,360,4.0,7,"1,75",21,14,"71,4",0,2,2,0,"0,0",1,1,0,0,"0,0"
49,Lens,fr Ligue 1,1,4,4,360,4.0,1,"0,25",11,10,"90,9",2,2,0,3,"75,0",0,0,0,0,
50,Leverkusen,de Bundesliga,2,3,3,270,3.0,6,"2,00",16,10,"62,5",2,0,1,0,"0,0",0,0,0,0,
51,Lille,fr Ligue 1,1,4,4,360,4.0,4,"1,00",14,10,"78,6",2,0,2,2,"50,0",1,1,0,0,"0,0"
52,Liverpool,eng Premier League,1,4,4,360,4.0,1,"0,25",10,9,"90,0",3,0,1,3,"75,0",0,0,0,0,
53,Lyon,fr Ligue 1,1,4,4,360,4.0,8,"2,00",26,18,"69,2",1,1,2,1,"25,0",0,0,0,0,
54,Mainz 05,de Bundesliga,1,3,3,270,3.0,6,"2,00",20,14,"75,0",0,2,1,0,"0,0",1,1,0,0,"0,0"
55,Mallorca,es La Liga,2,6,6,540,6.0,4,"0,67",28,24,"85,7",2,2,2,3,"50,0",0,0,0,0,
56,Manchester City,eng Premier League,1,4,4,360,4.0,3,"0,75",11,9,"72,7",4,0,0,1,"25,0",0,0,0,0,
57,Manchester Utd,eng Premier League,1,4,4,360,4.0,5,"1,25",12,6,"58,3",2,0,2,2,"50,0",1,0,1,0,"100,0"
58,Marseille,fr Ligue 1,1,4,4,360,4.0,4,"1,00",15,10,"73,3",3,1,0,1,"25,0",1,0,1,0,"100,0"
59,Milan,it Serie A,1,4,4,360,4.0,6,"1,50",13,8,"53,8",1,2,1,1,"25,0",0,0,0,0,
60,Monaco,fr Ligue 1,1,4,4,360,4.0,1,"0,25",11,10,"100,0",3,1,0,3,"75,0",1,1,0,0,"0,0"
61,Montpellier,fr Ligue 1,1,4,4,360,4.0,13,"3,25",25,12,"52,0",0,1,3,0,"0,0",1,1,0,0,"0,0"
62,Monza,it Serie A,2,4,4,360,4.0,4,"1,00",11,7,"63,6",0,3,1,1,"25,0",0,0,0,0,
63,Nantes,fr Ligue 1,1,4,4,360,4.0,3,"0,75",17,14,"82,4",2,1,1,2,"50,0",0,0,0,0,
64,Napoli,it Serie A,1,4,4,360,4.0,4,"1,00",13,9,"76,9",3,0,1,2,"50,0",1,1,0,0,"0,0"
65,Newcastle Utd,eng Premier League,1,4,4,360,4.0,3,"0,75",18,16,"83,3",3,1,0,1,"25,0",0,0,0,0,
66,Nice,fr Ligue 1,1,4,4,360,4.0,6,"1,50",22,16,"77,3",1,1,2,0,"0,0",1,1,0,0,"0,0"
67,Nott'ham Forest,eng Premier League,1,4,4,360,4.0,2,"0,50",12,10,"83,3",2,2,0,2,"50,0",0,0,0,0,
68,Osasuna,es La Liga,1,5,5,450,5.0,10,"2,00",20,11,"50,0",2,1,2,1,"20,0",0,0,0,0,
69,Paris S-G,fr Ligue 1,1,4,4,360,4.0,3,"0,75",12,9,"83,3",4,0,0,1,"25,0",1,1,0,0,"0,0"
70,Parma,it Serie A,2,4,4,270,4.0,7,"2,33",25,18,"72,0",1,1,2,0,"0,0",0,0,0,0,
71,Rayo Vallecano,es La Liga,2,5,5,450,5.0,6,"1,20",14,8,"57,1",2,1,2,1,"20,0",0,0,0,0,
72,RB Leipzig,de Bundesliga,1,3,3,270,3.0,2,"0,67",16,14,"87,5",2,1,0,2,"66,7",0,0,0,0,
73,Real Madrid,es La Liga,1,5,5,450,5.0,2,"0,40",11,9,"81,8",3,2,0,3,"60,0",0,0,0,0,
74,Real Sociedad,es La Liga,1,6,6,540,6.0,7,"1,17",23,16,"87,0",1,1,4,2,"33,3",4,4,0,0,"0,0"
75,Reims,fr Ligue 1,1,4,4,360,4.0,6,"1,50",27,21,"77,8",2,1,1,0,"0,0",0,0,0,0,
76,Rennes,fr Ligue 1,1,4,4,360,4.0,5,"1,25",18,13,"72,2",2,0,2,2,"50,0",1,0,1,0,"100,0"
77,Roma,it Serie A,1,4,4,360,4.0,3,"0,75",14,11,"85,7",0,3,1,2,"50,0",1,1,0,0,"0,0"
78,Saint-Étienne,fr Ligue 1,1,4,4,360,4.0,7,"1,75",23,16,"82,6",1,0,3,1,"25,0",3,3,0,0,"0,0"
79,Sevilla,es La Liga,1,5,5,450,5.0,6,"1,20",23,18,"78,3",1,2,2,2,"40,0",1,1,0,0,"0,0"
80,Southampton,eng Premier League,2,4,4,360,4.0,8,"2,00",26,18,"69,2",0,0,4,0,"0,0",0,0,0,0,
81,St. Pauli,de Bundesliga,1,3,3,270,3.0,6,"2,00",16,10,"62,5",0,0,3,0,"0,0",0,0,0,0,
82,Strasbourg,fr Ligue 1,2,4,4,360,4.0,7,"1,75",24,17,"75,0",1,2,1,0,"0,0",1,1,0,0,"0,0"
83,Stuttgart,de Bundesliga,1,3,3,270,3.0,7,"2,33",19,12,"68,4",1,1,1,0,"0,0",1,1,0,0,"0,0"
84,Torino,it Serie A,1,4,4,360,4.0,3,"0,75",24,20,"87,5",2,2,0,2,"50,0",1,0,1,0,"100,0"
85,Tottenham,eng Premier League,1,4,4,360,4.0,4,"1,00",11,7,"63,6",1,1,2,1,"25,0",0,0,0,0,
86,Toulouse,fr Ligue 1,1,4,4,360,4.0,4,"1,00",12,9,"66,7",1,2,1,2,"50,0",0,0,0,0,
87,Udinese,it Serie A,1,4,4,360,4.0,4,"1,00",17,13,"82,4",3,1,0,1,"25,0",2,1,0,1,"0,0"
88,Union Berlin,de Bundesliga,1,3,3,270,3.0,1,"0,33",7,5,"85,7",1,2,0,2,"66,7",1,0,1,0,"100,0"
89,Valencia,es La Liga,1,5,5,450,5.0,10,"2,00",21,10,"57,1",0,1,4,0,"0,0",2,1,1,0,"50,0"
90,Valladolid,es La Liga,1,5,5,450,5.0,13,"2,60",32,19,"59,4",1,1,3,2,"40,0",0,0,0,0,
91,Venezia,it Serie A,1,4,4,360,4.0,8,"2,00",27,20,"81,5",0,1,3,1,"25,0",3,3,0,0,"0,0"
92,Villarreal,es La Liga,1,5,5,450,5.0,8,"1,60",27,20,"70,4",3,2,0,0,"0,0",0,0,0,0,
93,Werder Bremen,de Bundesliga,1,3,3,270,3.0,3,"1,00",12,9,"75,0",1,2,0,1,"33,3",0,0,0,0,
94,West Ham,eng Premier League,2,4,4,360,4.0,6,"1,50",18,12,"66,7",1,1,2,1,"25,0",0,0,0,0,
95,Wolfsburg,de Bundesliga,1,3,3,270,3.0,5,"1,67",19,15,"78,9",1,0,2,1,"33,3",1,1,0,0,"0,0"
96,Wolves,eng Premier League,2,4,4,360,4.0,11,"2,75",25,14,"56,0",0,1,3,0,"0,0",0,0,0,0,
