Pos.,Squadra,Competizione,N. di giocatori,90 min,Rs,Rig segnati,Pun.,Calci d'angolo,AR,PSxG,PSxG/SoT,PSxG+/-,/90,Compl.,"Tent,",% compl.,Att (portiere),Lanci,% lanci,Lun. media,"Tent,",% lanci,Lun. media,Avv.,Par.,% par.,n. OPA,n. OPA/90,Distanza media
1,Alavés,es La Liga,1,5.0,6,1,0,0,0,"6,0","0,31","0,0","0,01",40,101,"39,6",110,11,"70,9","45,8",41,"56,1","44,6",57,3,"5,3",3,"0,60","12,8"
2,Angers,fr Ligue 1,1,4.0,8,0,0,1,0,"8,5","0,37","0,5","0,13",20,50,"40,0",96,22,"40,6","35,8",21,"52,4","37,1",45,5,"11,1",3,"0,75","11,2"
3,Arsenal,eng Premier League,1,4.0,1,0,0,0,0,"2,1","0,14","+1,1","0,28",25,69,"36,2",115,18,"40,0","33,5",29,"79,3","50,5",60,8,"13,3",3,"0,75","9,5"
4,Aston Villa,eng Premier League,1,4.0,6,1,0,0,0,"3,8","0,26","-2,2","-0,56",26,49,"53,1",110,15,"34,5","32,8",26,"42,3","34,9",50,6,"12,0",5,"1,25","13,7"
5,Atalanta,it Serie A,2,4.0,8,0,0,2,1,"6,5","0,38","-0,5","-0,11",10,51,"19,6",91,17,"28,6","33,1",33,"75,8","51,0",42,2,"4,8",2,"0,50","17,5"
6,Athletic Club,es La Liga,2,5.0,6,0,1,2,0,"5,3","0,38","-0,7","-0,14",24,75,"32,0",126,21,"42,1","31,6",36,"61,1","44,2",64,8,"12,5",5,"1,00","14,1"
7,Atlético Madrid,es La Liga,2,5.0,2,0,0,0,1,"1,4","0,14","0,4","0,08",6,19,"31,6",74,17,"13,5","28,0",42,"21,4","30,0",65,2,"3,1",4,"0,80","14,0"
8,Augsburg,de Bundesliga,1,3.0,7,1,0,0,0,"4,7","0,24","-2,3","-0,77",16,37,"43,2",84,24,"28,6","30,8",23,"56,5","42,3",41,2,"4,9",2,"0,67","10,8"
9,Auxerre,fr Ligue 1,1,4.0,9,1,0,2,1,"7,1","0,27","-0,9","-0,24",32,78,"41,0",124,15,"54,0","38,5",24,"45,8","40,9",59,3,"5,1",7,"1,75","15,9"
10,Barcelona,es La Liga,1,5.0,4,1,0,0,0,"3,7","0,24","-0,3","-0,06",13,28,"46,4",165,31,"15,2","27,4",23,"13,0","20,8",55,3,"5,5",6,"1,20","13,9"
11,Bayern Munich,de Bundesliga,1,3.0,3,1,0,0,0,"2,1","0,19","-0,9","-0,32",9,19,"47,4",151,14,"11,9","23,7",14,"7,1","15,4",29,1,"3,4",6,"2,00","19,1"
12,Betis,es La Liga,1,5.0,4,1,0,1,0,"4,8","0,28","0,8","0,16",12,47,"25,5",147,27,"24,5","29,7",31,"35,5","35,5",66,4,"6,1",8,"1,60","16,1"
13,Bochum,de Bundesliga,1,3.0,5,0,0,0,0,"6,8","0,44","+1,8","0,62",32,72,"44,4",99,8,"52,5","37,6",28,"71,4","50,0",54,3,"5,6",6,"2,00","16,1"
14,Bologna,it Serie A,1,4.0,7,0,0,1,1,"5,8","0,38","-0,2","-0,04",6,18,"33,3",122,23,"12,3","26,5",20,"15,0","27,2",37,2,"5,4",6,"1,50","13,6"
15,Bournemouth,eng Premier League,3,4.0,5,0,0,0,0,"7,0","0,30","+2,0","0,51",17,45,"37,8",80,14,"40,0","36,8",31,"41,9","37,1",54,2,"3,7",5,"1,25","12,6"
16,Brentford,eng Premier League,1,4.0,6,0,0,0,1,"6,5","0,24","+1,5","0,37",35,66,"53,0",191,14,"29,8","32,8",22,"40,9","36,4",48,3,"6,3",8,"2,00","17,1"
17,Brest,fr Ligue 1,1,4.0,10,2,0,0,1,"7,6","0,25","-1,4","-0,34",36,79,"45,6",125,11,"47,2","37,9",25,"80,0","55,4",45,4,"8,9",2,"0,50","11,0"
18,Brighton,eng Premier League,2,4.0,2,0,0,0,0,"2,9","0,24","0,9","0,23",14,29,"48,3",157,16,"17,2","25,1",27,"7,4","14,0",31,3,"9,7",5,"1,25","15,4"
19,Cagliari,it Serie A,1,4.0,6,0,0,3,0,"5,2","0,34","-0,8","-0,21",12,30,"40,0",89,23,"24,7","29,4",27,"29,6","31,2",56,3,"5,4",5,"1,25","13,4"
20,Celta Vigo,es La Liga,2,5.0,10,0,0,3,2,"8,7","0,39","0,7","0,15",5,28,"17,9",105,26,"16,2","28,4",39,"28,2","26,9",76,3,"3,9",6,"1,20","12,0"
21,Chelsea,eng Premier League,1,4.0,5,0,0,0,0,"5,2","0,22","0,2","0,04",10,35,"28,6",137,20,"21,9","27,0",29,"17,2","22,3",34,6,"17,6",11,"2,75","16,3"
22,Como,it Serie A,2,4.0,7,0,0,0,0,"5,6","0,33","-1,4","-0,35",11,44,"25,0",111,12,"36,9","32,9",21,"14,3","16,5",50,2,"4,0",2,"0,50","15,3"
23,Crystal Palace,eng Premier League,1,4.0,7,0,0,0,0,"8,2","0,47","+1,2","0,30",10,44,"22,7",84,22,"41,7","34,8",36,"25,0","28,1",44,2,"4,5",4,"1,00","13,9"
24,Dortmund,de Bundesliga,1,3.0,2,1,0,0,0,"2,0","0,17","0,0","0,01",9,22,"40,9",97,13,"18,6","23,8",16,"25,0","24,3",49,1,"2,0",1,"0,33","8,8"
25,Eint Frankfurt,de Bundesliga,2,3.0,4,0,0,0,0,"2,5","0,21","-1,5","-0,49",15,42,"35,7",75,16,"41,3","30,8",31,"35,5","31,2",65,4,"6,2",3,"1,00","11,5"
26,Empoli,it Serie A,1,4.0,2,0,0,1,0,"2,9","0,21","0,9","0,22",21,76,"27,6",90,12,"70,0","42,0",36,"36,1","29,4",75,6,"8,0",2,"0,50","9,6"
27,Espanyol,es La Liga,1,5.0,5,0,0,1,0,"5,3","0,26","0,3","0,06",22,68,"32,4",131,27,"40,5","35,3",49,"30,6","31,3",103,6,"5,8",7,"1,40","13,4"
28,Everton,eng Premier League,1,4.0,13,0,0,1,0,"9,8","0,38","-3,2","-0,81",49,101,"48,5",124,11,"71,0","48,4",28,"46,4","39,1",57,1,"1,8",13,"3,25","21,3"
29,Fiorentina,it Serie A,2,4.0,6,0,0,0,0,"5,0","0,25","-1,0","-0,26",13,40,"32,5",103,17,"35,0","38,0",22,"18,2","25,0",31,1,"3,2",3,"0,75","8,0"
30,Freiburg,de Bundesliga,2,3.0,4,1,0,1,0,"4,2","0,45","0,2","0,08",16,60,"26,7",96,8,"50,0","37,8",23,"52,2","45,9",36,2,"5,6",4,"1,33","13,8"
31,Fulham,eng Premier League,1,4.0,4,0,0,1,0,"5,1","0,32","+1,1","0,27",12,42,"28,6",132,10,"24,2","28,5",28,"35,7","32,0",52,3,"5,8",5,"1,25","13,8"
32,Genoa,it Serie A,1,4.0,5,1,0,0,0,"5,7","0,29","0,7","0,18",23,49,"46,9",98,13,"31,6","31,8",34,"52,9","43,1",59,2,"3,4",2,"0,50","12,4"
33,Getafe,es La Liga,1,5.0,4,1,0,0,0,"4,1","0,23","0,1","0,01",17,68,"25,0",71,11,"67,6","47,7",33,"60,6","48,9",55,3,"5,5",4,"0,80","11,9"
34,Girona,es La Liga,1,5.0,8,0,1,1,0,"6,6","0,28","-1,4","-0,29",9,28,"32,1",130,19,"16,2","27,1",36,"19,4","26,0",40,4,"10,0",7,"1,40","19,0"
35,Gladbach,de Bundesliga,1,3.0,6,0,0,1,0,"6,0","0,25","0,0","-0,01",23,45,"51,1",126,10,"30,2","30,2",20,"35,0","31,0",35,0,"0,0",3,"1,00","17,8"
36,Heidenheim,de Bundesliga,1,3.0,4,1,0,0,0,"3,0","0,25","-1,0","-0,34",19,49,"38,8",86,16,"34,9","34,2",32,"59,4","46,0",50,2,"4,0",2,"0,67","13,8"
37,Hellas Verona,it Serie A,1,4.0,5,1,0,1,0,"4,4","0,22","-0,6","-0,14",16,69,"23,2",83,10,"55,4","41,4",29,"79,3","55,2",55,3,"5,5",4,"1,00","14,7"
38,Hoffenheim,de Bundesliga,1,3.0,9,1,0,0,0,"9,2","0,44","0,2","0,07",13,40,"32,5",79,15,"40,5","35,2",29,"27,6","30,7",49,1,"2,0",4,"1,33","14,6"
