Pos.,Squadra,Paese,LgRk,PG,V,N,P,Rf,Rs,DR,Pt,Pts/MP,xG,xGA,xGD,xGD/90,Ultime 5,Spettatori,Miglior marcatore della squadra,Portiere
1,Barcelona,es ESP,1,5,5,0,0,17,4,+13,15,"3,00",12.9,4.2,+8.7,"+1,75",V V V V V,45.404,Robert Lewandowski - 4,Marc-André ter Stegen
2,Paris S-G,fr FRA,1,4,4,0,0,16,3,+13,12,"3,00",12.1,3.2,+8.9,"+2,21",V V V V,46.000,Bradley Barcola - 4,Gianluigi Donnarumma
3,Bayern Munich,de GER,1,3,3,0,0,11,3,+8,9,"3,00",7.1,3.2,+3.9,"+1,31",V V V,75.000,Harry Kane - 4,Manuel Neuer
4,Manchester City,eng ENG,1,4,4,0,0,11,3,+8,12,"3,00",9.2,2.9,+6.3,"+1,57",V V V V,53.147,Erling Haaland - 9,Ederson
5,Marseille,fr FRA,2,4,3,1,0,12,4,+8,10,"2,50",6.9,5.0,+1.9,"0,47",V N V V,64.822,Mason Greenwood - 5,Gerónimo Rulli
6,Monaco,fr FRA,3,4,3,1,0,7,1,+6,10,"2,50",8.6,3.2,+5.4,"+1,34",V V N V,11.640,Denis Zakaria - 2,Philipp Köhn
7,Arsenal,eng ENG,2,4,3,1,0,6,1,+5,10,"2,50",5.0,4.2,+0.8,"0,20",V V N V,60.294,Kai Havertz - 2,David Raya
8,Newcastle Utd,eng ENG,3,4,3,1,0,6,3,+3,10,"2,50",5.2,6.5,-1.3,"-0,32",V N V V,52.204,Harvey Barnes - 2,Nick Pope
9,Udinese,it ITA,1,4,3,1,0,7,4,+3,10,"2,50",5.2,6.9,-1.7,"-0,42",N V V V,,Florian Thauvin - 3,Maduka Okoye
10,Dortmund,de GER,2,3,2,1,0,6,2,+4,7,"2,33",4.9,3.5,+1.4,"0,48",V N V,81.365,"Karim Adeyemi, Jamie Gittens - 2",Gregor Kobel
11,RB Leipzig,de GER,3,3,2,1,0,4,2,+2,7,"2,33",3.7,3.8,-0.1,"-0,03",V V N,46.206,Loïs Openda - 2,Péter Gulácsi
12,Liverpool,eng ENG,4,4,3,0,1,7,1,+6,9,"2,25",7.8,2.8,+5.0,"+1,26",V V V P,60.017,"Mohamed Salah, Luis Díaz - 3",Alisson
13,Napoli,it ITA,2,4,3,0,1,9,4,+5,9,"2,25",7.5,5.1,+2.4,"0,60",P V V V,,"Romelu Lukaku, Khvicha Kvaratskhelia... - 2",Alex Meret
14,Aston Villa,eng ENG,5,4,3,0,1,7,6,+1,9,"2,25",6.7,4.5,+2.2,"0,55",V P V V,41.587,Jhon Durán - 3,Emiliano Martínez
15,Real Madrid,es ESP,2,5,3,2,0,9,2,+7,11,"2,20",10.0,3.8,+6.2,"+1,23",N V N V V,71.625,Kylian Mbappé - 3,Thibaut Courtois
16,Atlético Madrid,es ESP,3,5,3,2,0,9,2,+7,11,"2,20",9.4,2.5,+6.9,"+1,39",N V N V V,59.612,"Antoine Griezmann, Marcos Llorente - 2",Jan Oblak
17,Villarreal,es ESP,4,5,3,2,0,11,8,+3,11,"2,20",7.5,6.2,+1.3,"0,25",N V V N V,20.609,Ayoze Pérez - 3,Diego Conde
18,Juventus,it ITA,4,4,2,2,0,6,0,+6,8,"2,00",3.8,1.5,+2.3,"0,58",V V N N,,Dušan Vlahović - 2,Michele Di Gregorio
19,Inter,it ITA,3,4,2,2,0,9,3,+6,8,"2,00",7.2,4.0,+3.2,"0,80",N V V N,,Marcus Thuram - 4,Yann Sommer
20,Heidenheim,de GER,4,3,2,0,1,8,4,+4,6,"2,00",6.0,4.5,+1.4,"0,48",V V P,15.000,"Maximilian Breunig, Paul Wanner - 2",Kevin Müller
21,Brighton,eng ENG,6,4,2,2,0,6,2,+4,8,"2,00",6.9,4.4,+2.5,"0,62",V V N N,36.555,"Danny Welbeck, João Pedro - 2","Jason Steele, Bart Verbruggen"
22,Leverkusen,de GER,5,3,2,0,1,9,6,+3,6,"2,00",8.4,3.6,+4.8,"+1,59",V P V,29.615,Florian Wirtz - 3,Lukáš Hrádecký
23,Lens,fr FRA,4,4,2,2,0,4,1,+3,8,"2,00",7.4,2.8,+4.5,"+1,14",V V N N,37.776,"Wesley Saïd, Przemysław Frankowski... - 1",Brice Samba
24,Torino,it ITA,5,4,2,2,0,5,3,+2,8,"2,00",4.9,7.6,-2.7,"-0,68",N V V N,,"Duván Zapata, Che Adams... - 1",Vanja Milinković-Savić
25,Nott'ham Forest,eng ENG,7,4,2,2,0,4,2,+2,8,"2,00",5.0,3.0,+2.0,"0,50",N V N V,29.841,Chris Wood - 2,Matz Sels
26,Eint Frankfurt,de GER,6,3,2,0,1,5,4,+1,6,"2,00",6.3,4.2,+2.1,"0,68",P V V,57.100,Omar Marmoush - 3,Kevin Trapp
27,Freiburg,de GER,7,3,2,0,1,5,4,+1,6,"2,00",6.9,2.8,+4.1,"+1,36",V P V,34.400,"Lukas Kübler, Junior Adamu - 2",Florian Müller
28,Celta Vigo,es ESP,5,5,3,0,2,13,10,+3,9,"1,80",8.3,7.4,+0.9,"0,18",V V P P V,22.555,Borja Iglesias - 3,Iván Villar
29,Nantes,fr FRA,5,4,2,1,1,6,3,+3,7,"1,75",4.9,4.2,+0.7,"0,17",N V V P,31.077,Moses Simon - 2,Alban Lafont
30,Chelsea,eng ENG,8,4,2,1,1,8,5,+3,7,"1,75",5.7,5.0,+0.7,"0,18",P V N V,39.558,Noni Madueke - 3,Robert Sánchez
31,Lazio,it ITA,6,4,2,1,1,8,6,+2,7,"1,75",7.0,3.6,+3.4,"0,85",V P N V,,Valentín Castellanos - 3,Ivan Provedel
32,Reims,fr FRA,6,4,2,1,1,6,6,0,7,"1,75",2.8,7.4,-4.6,"-1,14",P N V V,13.806,"Junya Ito, Sergio Akieme... - 1",Yehvann Diouf
33,Union Berlin,de GER,9,3,1,2,0,2,1,+1,5,"1,67",2.3,3.0,-0.7,"-0,23",N V N,22.012,"László Bénes, Benedict Hollerbach - 1",Frederik Rønnow
34,Werder Bremen,de GER,8,3,1,2,0,4,3,+1,5,"1,67",3.4,2.7,+0.7,"0,23",N N V,42.100,"Marvin Ducksch, Derrick Köhn... - 1",Michael Zetterer
