Pos.,Squadra,Competizione,N. di giocatori,Età,PG,Min,Min/PG,% min,90 min,Tit,Min/Iniziata,Compl.,Riserva,Min/Ris,RisInut,PAP,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1,Alavés,es La Liga,24,"27,2",5,450,90,100,5.0,55,80,29,25,21,34,"1,40",7,6,+1,"0,20",7.3,5.6,"+1,7","0,35"
2,Angers,fr Ligue 1,23,"27,3",4,360,90,100,4.0,44,81,25,19,20,17,"0,25",2,8,-6,"-1,50",3.3,6.6,"-3,3","-0,82"
3,Arsenal,eng Premier League,19,"26,3",4,360,90,100,4.0,44,85,31,12,14,24,"2,50",6,1,+5,"+1,25",5.0,4.2,"0,8","0,20"
4,Aston Villa,eng Premier League,19,"26,7",4,360,90,100,4.0,44,79,25,20,25,16,"2,25",7,6,+1,"0,25",6.7,4.5,"+2,2","0,55"
5,Atalanta,it Serie A,24,"27,1",4,360,90,100,4.0,44,83,28,16,18,32,"1,50",8,8,0,"0,00",7.8,7.0,"0,8","0,20"
6,Athletic Club,es La Liga,24,"27,2",5,450,90,100,5.0,55,79,29,25,22,34,"1,40",6,6,0,"0,00",4.7,5.9,"-1,1","-0,23"
7,Atlético Madrid,es La Liga,20,"29,1",5,450,90,100,5.0,55,78,30,25,26,34,"2,20",9,2,+7,"+1,40",9.4,2.5,"+6,9","+1,39"
8,Augsburg,de Bundesliga,22,"27,1",3,270,90,100,3.0,33,79,18,15,24,12,"1,33",5,7,-2,"-0,67",4.4,5.0,"-0,6","-0,20"
9,Auxerre,fr Ligue 1,22,"26,8",4,360,90,100,4.0,44,81,25,17,19,19,"0,75",3,9,-6,"-1,50",4.1,8.3,"-4,2","-1,05"
10,Barcelona,es La Liga,21,"25,2",5,450,90,100,5.0,55,82,32,23,19,30,"3,00",17,4,+13,"+2,60",12.9,4.2,"+8,7","+1,75"
11,Bayern Munich,de Bundesliga,19,"28,0",3,270,90,100,3.0,33,81,20,13,24,14,"3,00",11,3,+8,"+2,67",7.1,3.2,"+3,9","+1,31"
12,Betis,es La Liga,23,"28,2",5,450,90,100,5.0,55,80,31,25,23,34,"1,60",5,4,+1,"0,20",8.1,4.9,"+3,2","0,64"
13,Bochum,de Bundesliga,19,"27,5",3,270,90,100,3.0,33,81,18,15,21,12,"0,00",1,5,-4,"-1,33",2.5,7.9,"-5,4","-1,78"
